"Month","x"
"01/1991",1
"01/1999",1
"01/2007",2
"01/2008",1
"01/2011",1
"01/2012",11
"01/2014",8
"01/2015",11
"02/2007",9
"02/2008",2
"02/2009",2
"02/2010",2
"02/2011",6
"02/2012",7
"02/2013",1
"02/2014",33
"02/2015",66
"03/1988",1
"03/1990",1
"03/1994",1
"03/2002",1
"03/2003",4
"03/2004",1
"03/2005",1
"03/2007",35
"03/2008",1
"03/2009",17
"03/2010",60
"03/2011",56
"03/2012",105
"03/2013",11
"03/2014",319
"04/1991",1
"04/1997",1
"04/2000",1
"04/2001",1
"04/2002",2
"04/2003",5
"04/2004",4
"04/2005",7
"04/2006",7
"04/2007",57
"04/2008",8
"04/2009",63
"04/2010",187
"04/2011",299
"04/2012",34
"04/2013",54
"04/2014",451
"05/1987",1
"05/1990",1
"05/1992",5
"05/1993",3
"05/1994",2
"05/1995",4
"05/1996",5
"05/1997",6
"05/1998",5
"05/1999",6
"05/2000",4
"05/2001",7
"05/2002",17
"05/2003",43
"05/2004",2
"05/2005",25
"05/2006",37
"05/2007",89
"05/2008",84
"05/2009",388
"05/2010",455
"05/2011",676
"05/2012",288
"05/2013",61
"05/2014",589
"06/1990",9
"06/1991",1
"06/1992",7
"06/1993",10
"06/1994",18
"06/1995",4
"06/1996",55
"06/1997",5
"06/1998",22
"06/1999",20
"06/2000",15
"06/2001",9
"06/2002",43
"06/2003",102
"06/2004",32
"06/2005",111
"06/2006",100
"06/2007",274
"06/2008",318
"06/2009",976
"06/2010",1023
"06/2011",1294
"06/2012",1021
"06/2013",632
"06/2014",2814
"07/1981",10
"07/1983",1
"07/1984",1
"07/1985",1
"07/1987",4
"07/1988",1
"07/1990",26
"07/1991",14
"07/1992",143
"07/1993",29
"07/1994",30
"07/1995",127
"07/1996",40
"07/1997",103
"07/1998",33
"07/1999",77
"07/2000",20
"07/2001",44
"07/2002",82
"07/2003",606
"07/2004",32
"07/2005",102
"07/2006",297
"07/2007",232
"07/2008",818
"07/2009",2400
"07/2010",5573
"07/2011",2725
"07/2012",2841
"07/2013",2243
"07/2014",5352
"08/1984",2
"08/1986",4
"08/1987",17
"08/1988",3
"08/1990",32
"08/1991",47
"08/1992",52
"08/1993",30
"08/1994",173
"08/1995",64
"08/1996",123
"08/1997",131
"08/1998",24
"08/1999",41
"08/2000",89
"08/2001",50
"08/2002",125
"08/2003",103
"08/2004",56
"08/2005",156
"08/2006",231
"08/2007",165
"08/2008",2797
"08/2009",1867
"08/2010",3906
"08/2011",1375
"08/2012",7405
"08/2013",4633
"08/2014",5461
"09/1981",5
"09/1983",1
"09/1984",2
"09/1987",19
"09/1988",18
"09/1990",1
"09/1991",5
"09/1992",513
"09/1993",4
"09/1994",89
"09/1995",52
"09/1996",3
"09/1997",59
"09/1998",22
"09/1999",39
"09/2000",28
"09/2001",61
"09/2002",88
"09/2003",47
"09/2004",58
"09/2005",131
"09/2006",407
"09/2007",153
"09/2008",1954
"09/2009",1830
"09/2010",4967
"09/2011",3735
"09/2012",6093
"09/2013",2939
"09/2014",5043
"10/1976",1
"10/1981",4
"10/1987",7
"10/1990",2
"10/1991",5
"10/1992",7
"10/1994",11
"10/1995",8
"10/1996",3
"10/1997",5
"10/1999",22
"10/2001",18
"10/2002",15
"10/2003",18
"10/2004",25
"10/2005",98
"10/2006",338
"10/2007",91
"10/2008",566
"10/2009",499
"10/2010",2536
"10/2011",1439
"10/2012",1143
"10/2013",1249
"10/2014",6896
"11/1994",2
"11/1995",3
"11/1999",1
"11/2000",2
"11/2002",2
"11/2004",7
"11/2005",22
"11/2006",81
"11/2008",37
"11/2009",100
"11/2010",62
"11/2011",360
"11/2012",41
"11/2013",143
"11/2014",2409
"12/1974",1
"12/2006",8
"12/2007",2
"12/2008",2
"12/2009",2
"12/2010",3
"12/2011",5
"12/2012",1
"12/2013",24
"12/2014",28
